generations,N,M,K,P,b,c,β,u,v,p1,p2,ϵ,DD_mean_final,DC_mean_final,CD_mean_final,CC_mean_final,y,z,g,h,sia_sid,sia_sjd
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.5,0.5,1.0,0.17077416874964715,0.2556171899996977,0.31798090999973133,0.2556277312501339,0.48846153846153845,1.0,0.48846153846153845,0.48846153846153845,0.525,0.5329268292682927
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.75,0.75,1.0,0.26697542375013306,0.25884159624974695,0.22760895875010378,0.24657402124994587,1.0,1.0,1.0,1.0,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,1.0,1.0,1.0,0.2422786837498778,0.28275020749993923,0.2690774837501014,0.20589362499969288,0.48717948717948717,-0.02564102564102564,0.48717948717948717,-0.02564102564102564,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.0,0.0,1.0,0.22551209125004001,0.24734844875009473,0.256027218750035,0.2711122412497873,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.25,0.25,1.0,0.25071143000012674,0.27707730749993575,0.2664338399999238,0.20577742249983927,0.7384615384615385,1.0,0.7384615384615385,0.7384615384615385,0.85,0.8414634146341463
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.5,0.5,1.0,0.24800660750033438,0.23127105500014172,0.27187819749962244,0.24884413999992916,1.0,0.3435897435897436,0.3435897435897436,0.3435897435897436,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.75,0.75,1.0,0.26871759374976295,0.22065920374974948,0.30236431500006367,0.20825888749994143,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,1.0,1.0,1.0,0.21824618999984632,0.2329515862501493,0.28588659625007756,0.2629156274999828,1.0,-0.02564102564102564,-0.02564102564102564,-0.02564102564102564,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.0,0.0,1.0,0.22898447249985832,0.31080755124970566,0.24258947625007332,0.21761850000005778,1.0,1.0,1.0,1.0,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.25,0.25,1.0,0.22094752874987358,0.2156702737498407,0.30121974625024667,0.26216245124979226,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.5,0.5,1.0,0.25720629500020087,0.1930276949996761,0.29382855125017837,0.2559374587497489,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.75,0.75,1.0,0.31964719999974167,0.27226961999994986,0.2294033812498635,0.1786797987496982,1.0,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,1.0,1.0,1.0,0.25008027749983974,0.2747249075002246,0.20351200374986547,0.2716828112500855,1.0,-0.02564102564102564,-0.02564102564102564,-0.02564102564102564,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.0,0.0,1.0,0.24691879374992448,0.21806965750001575,0.2825109249999327,0.25250062374995763,1.0,1.0,1.0,1.0,0.0,0.0
