"M","K","u","v","CC","CD","DC","DD"
3,1,0.001,0.18691859765265248,0.2915500828891724,0.2915500828891724,0.2084499171108276,0.39296928602867903
3,2,0.001,0.18691859765265248,0.2915500828891724,0.2915500828891724,0.2084499171108276,0.3791192583989549
3,3,0.001,0.18691859765265248,0.2915500828891724,0.2915500828891724,0.2084499171108276,0.3652692307692308
1,1,0.001,0.27950849718747356,0.26046394392596994,0.26046394392596994,0.23953605607403008,0.2884230769230769
2,1,0.001,0.27950849718747356,0.27092788785193983,0.27092788785193983,0.22907211214806014,0.33731009777212373
2,2,0.001,0.27950849718747356,0.27092788785193983,0.27092788785193983,0.22907211214806014,0.32684615384615384
3,1,0.001,0.27950849718747356,0.2813918317779098,0.2813918317779098,0.21860816822209023,0.38619711862117057
3,2,0.001,0.27950849718747356,0.2813918317779098,0.2813918317779098,0.21860816822209023,0.37573317469520073
3,3,0.001,0.27950849718747356,0.2813918317779098,0.2813918317779098,0.21860816822209023,0.3652692307692308
1,1,0.001,0.41796269061026353,0.2576258319908525,0.2576258319908525,0.24237416800914752,0.28842307692307695
2,1,0.001,0.41796269061026353,0.26525166398170497,0.26525166398170497,0.23474833601829503,0.3344719858370063
2,2,0.001,0.41796269061026353,0.26525166398170497,0.26525166398170497,0.23474833601829503,0.32684615384615384
3,1,0.001,0.41796269061026353,0.27287749597255745,0.27287749597255745,0.22712250402744255,0.38052089475093576
3,2,0.001,0.41796269061026353,0.27287749597255745,0.27287749597255745,0.22712250402744255,0.3728950627600832
3,3,0.001,0.41796269061026353,0.27287749597255745,0.27287749597255745,0.22712250402744255,0.3652692307692308
1,1,0.001,0.6249999999999997,0.2554137394748273,0.2554137394748273,0.24458626052517268,0.28842307692307695
2,1,0.001,0.6249999999999997,0.26082747894965463,0.26082747894965463,0.23917252105034534,0.33225989332098116
2,2,0.001,0.6249999999999997,0.26082747894965463,0.26082747894965463,0.23917252105034534,0.32684615384615384
3,1,0.001,0.6249999999999997,0.26624121842448195,0.26624121842448195,0.23375878157551802,0.3760967097188854
3,2,0.001,0.6249999999999997,0.26624121842448195,0.26624121842448195,0.23375878157551802,0.3706829702440581
3,3,0.001,0.6249999999999997,0.26624121842448195,0.26624121842448195,0.23375878157551802,0.3652692307692308
