"","generations","N","M","K","P","b","c","β","u","v","p1","p2","ϵ","DD_mean_final","DC_mean_final","CD_mean_final","CC_mean_final","y","z","g","h","sia_sid","sia_sjd","id"
"1648",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.5,0.5,1,0.279930864999707,0.255520783749877,0.231883633750471,0.232664717500085,0.98055607903252,0.482331583098183,0.477851340340609,0.474032604960459,0.232664717500085,0.232562114084235,"run11"
"1649",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,0.75,0.75,1,0.256602236249817,0.249116771250057,0.257353390000055,0.236927602500014,0.979943490122733,0.48092152579095,0.476794891302329,0.47285981763298,0.236927602500014,0.237206198779829,"run11"
"1650",2e+07,40,1,1,2,1,0.2,0,0.001,0.025,1,1,1,0.216081913749967,0.264416621250048,0.282312167500168,0.237189297500031,0.713114956276454,-0.0256410256377428,0.251458371734772,-0.025368947425966,0.237189297500031,0.240290839857184,"run11"
"1651",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0,0,1,0.246386474999853,0.250927379999861,0.219348549999974,0.283337595000048,0.980379813455691,0.96190226743814,0.943431824613132,0.943093602335845,0.283337595000048,0.283093066157495,"run12"
"1652",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.25,0.25,1,0.209883948749871,0.234490576249921,0.30305299250001,0.252572482499853,0.981549960506858,0.96200835141294,0.94494299333118,0.944503435237553,0.252572482499853,0.252566777438301,"run12"
"1653",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.5,0.5,1,0.28060695374991,0.213552962499903,0.276178103749983,0.229661980000063,0.98020263185351,0.963248935003773,0.944937028268635,0.944454022378196,0.229661980000063,0.229221126888981,"run12"
"1654",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.75,0.75,1,0.24571612875007,0.240796673749953,0.241122651249692,0.272364546250391,0.980352122045941,0.963389105131237,0.94529360769152,0.944757709692328,0.272364546250391,0.272321288047919,"run12"
"1655",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,1,1,1,0.262879556249854,0.258444613750151,0.237512443749902,0.241163386250167,0.735649958477418,-0.0256410256377428,0.229151797022299,-0.0253870162316206,0.241163386250167,0.242831304505012,"run12"
"1656",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0,0,1,0.224943870000025,0.23970619499996,0.277324726250079,0.258025208749992,0.980858409737913,0.961197139105386,0.943507849485679,0.943090159158527,0.258025208749992,0.258175508962208,"run12"
"1657",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.25,0.25,1,0.281114825000117,0.216844189999989,0.240725704999962,0.261315279999904,0.980528296788421,0.96301886590133,0.945142949101464,0.944602738419946,0.261315279999904,0.260387944206553,"run12"
"1658",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.5,0.5,1,0.255878016249919,0.222913074999789,0.240150083749969,0.281058825000225,0.980131078904304,0.961335036157024,0.942948240703866,0.942448956506876,0.281058825000225,0.280664174633152,"run12"
"1659",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.75,0.75,1,0.295243621249848,0.271894162499944,0.221843918750025,0.211018297499918,0.979494537494122,0.962504537181957,0.943849103523895,0.943210608372043,0.211018297499918,0.211015566096477,"run12"
"1660",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,1,1,1,0.22440510750004,0.247464008750108,0.287415921249704,0.240714962499895,0.742020297481939,-0.0256410256377428,0.222889093252707,-0.0254189782053134,0.240714962499895,0.257383984377228,"run12"
"1661",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0,0,1,0.244040127499703,0.221994838749755,0.261942747500215,0.272022286249901,0.980442491725585,0.960807178720799,0.943015530447476,0.942392577144537,0.272022286249901,0.272187246279731,"run12"
"1662",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.25,0.25,1,0.269039767499942,0.272638352499911,0.247405884999892,0.210915994999799,0.980472140635168,0.962737138720972,0.94496481935711,0.944320964016491,0.210915994999799,0.211184499510861,"run12"
"1663",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.5,0.5,1,0.275014480000231,0.220092990000075,0.261731036250066,0.243161493749917,0.980344499352715,0.961969049233796,0.944499671408438,0.943696656543545,0.243161493749917,0.242795786767467,"run12"
"1664",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.75,0.75,1,0.220246496249926,0.277162992500219,0.284918741249872,0.217671769999947,0.979728325700371,0.964356238848743,0.945018806472952,0.944790044027078,0.217671769999947,0.218444877621008,"run12"
"1665",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,1,1,1,0.237950648749754,0.259070751249819,0.2500125625001,0.252966037500339,0.718395584242423,-0.0256410256377428,0.246422912501212,-0.0253911236945043,0.252966037500339,0.264242336397077,"run12"
"1666",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0,0,1,0.262465996250068,0.288760287499935,0.231794851250105,0.216978864999871,0.981407882109741,0.962064070772255,0.944870696601207,0.944408345248432,0.216978864999871,0.217118954267186,"run12"
"1667",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.25,0.25,1,0.250369516250009,0.284502598750212,0.232084171249849,0.233043713749833,0.978930730122965,0.96154335064418,0.941788733588946,0.941418633980456,0.233043713749833,0.232994759450314,"run12"
"1668",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.5,0.5,1,0.205967722499848,0.233312781250252,0.30077776624991,0.259941730000015,0.980839095442956,0.961026605772553,0.943164844422049,0.942800472866705,0.259941730000015,0.260241669571805,"run12"
"1669",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.75,0.75,1,0.270629612499917,0.232189305000043,0.234893391250159,0.26228769124986,0.979738143199884,0.960786704105967,0.942219384358536,0.941650230158289,0.26228769124986,0.261417878656924,"run12"
"1670",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,1,1,1,0.291943417500004,0.238696081250029,0.258561531249922,0.210798969999873,0.725778390856143,-0.0256410256377428,0.239553411664757,-0.02540283674775,0.210798969999873,0.212728232786677,"run12"
"1671",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0,0,1,0.251882215000115,0.28201647250009,0.20916571624975,0.256935596249817,0.980028765122937,0.962060718208335,0.943556613332347,0.943095884297535,0.256935596249817,0.257040585608974,"run12"
"1672",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.25,0.25,1,0.231840736249742,0.210232833749844,0.26713261625006,0.290793813749713,0.981021730891502,0.95877515423502,0.941423225255715,0.940860688184451,0.290793813749713,0.290876511645642,"run12"
"1673",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.5,0.5,1,0.264501116249968,0.165865454999648,0.288955076249987,0.280678352499876,0.9813706337762,0.958883832823476,0.941429516472477,0.941111846148785,0.280678352499876,0.28000050890165,"run12"
"1674",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.75,0.75,1,0.269452340000031,0.249033616250077,0.187552434999801,0.293961608749904,0.979745491982202,0.960964087183348,0.942075896858887,0.941656670077553,0.293961608749904,0.293120242377051,"run12"
"1675",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,1,1,1,0.253697047500142,0.273248188749936,0.239393661250059,0.233661102499957,0.724677025315802,-0.0256410256377428,0.239728673610413,-0.0253981201823698,0.233661102499957,0.227712801023667,"run12"
